"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8444","le tri par prix croissant ordonne bien les produits","","2026-09-10","passed","2026-09-10","Sauce Demo — parcours avancés","tests-e2e/saucedemo/saucedemo-advanced.spec.ts","",""
"","1374","un utilisateur bloqué voit un message d'erreur","","2026-09-10","passed","2026-09-10","Sauce Demo","tests-e2e/saucedemo/saucedemo.spec.ts","",""
"","2058","la déconnexion ramène à la page de login","","2026-09-10","passed","2026-09-10","Sauce Demo — parcours avancés","tests-e2e/saucedemo/saucedemo-advanced.spec.ts","",""
"","8671","parcours de commande complet jusqu'à la confirmation","","2026-09-10","passed","2026-09-10","Sauce Demo — parcours avancés","tests-e2e/saucedemo/saucedemo-advanced.spec.ts","",""
"","1693","un utilisateur valide se connecte et voit l'inventaire","","2026-09-10","passed","2026-09-10","Sauce Demo","tests-e2e/saucedemo/saucedemo.spec.ts","",""
"","1827","retirer un article depuis le panier met à jour le badge","","2026-09-10","passed","2026-09-10","Sauce Demo — parcours avancés","tests-e2e/saucedemo/saucedemo-advanced.spec.ts","",""
"","1861","le checkout refuse un formulaire incomplet","","2026-09-10","passed","2026-09-10","Sauce Demo — parcours avancés","tests-e2e/saucedemo/saucedemo-advanced.spec.ts","",""
"","1891","le tri par nom décroissant (Z à A) ordonne bien les produits","","2026-09-10","passed","2026-09-10","Sauce Demo — parcours avancés","tests-e2e/saucedemo/saucedemo-advanced.spec.ts","",""
