"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2188","la déconnexion ramène à la page de login","","2026-08-20","passed","2026-08-20","Sauce Demo — parcours avancés","tests-e2e/saucedemo/saucedemo-advanced.spec.ts","",""
"","1595","le tri par nom décroissant (Z à A) ordonne bien les produits","","2026-08-20","passed","2026-08-20","Sauce Demo — parcours avancés","tests-e2e/saucedemo/saucedemo-advanced.spec.ts","",""
"","1466","un utilisateur valide se connecte et voit l'inventaire","","2026-08-20","passed","2026-08-20","Sauce Demo","tests-e2e/saucedemo/saucedemo.spec.ts","",""
"","1911","le checkout refuse un formulaire incomplet","","2026-08-20","passed","2026-08-20","Sauce Demo — parcours avancés","tests-e2e/saucedemo/saucedemo-advanced.spec.ts","",""
"","1917","retirer un article depuis le panier met à jour le badge","","2026-08-20","passed","2026-08-20","Sauce Demo — parcours avancés","tests-e2e/saucedemo/saucedemo-advanced.spec.ts","",""
"","1533","un utilisateur bloqué voit un message d'erreur","","2026-08-20","passed","2026-08-20","Sauce Demo","tests-e2e/saucedemo/saucedemo.spec.ts","",""
"","4781","parcours de commande complet jusqu'à la confirmation","","2026-08-20","passed","2026-08-20","Sauce Demo — parcours avancés","tests-e2e/saucedemo/saucedemo-advanced.spec.ts","",""
"","4113","le tri par prix croissant ordonne bien les produits","","2026-08-20","passed","2026-08-20","Sauce Demo — parcours avancés","tests-e2e/saucedemo/saucedemo-advanced.spec.ts","",""
