"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2928","parcours de commande complet jusqu'à la confirmation","","2026-08-24","passed","2026-08-24","Sauce Demo — parcours avancés","tests-e2e/saucedemo/saucedemo-advanced.spec.ts","",""
"","2278","la déconnexion ramène à la page de login","","2026-08-24","passed","2026-08-24","Sauce Demo — parcours avancés","tests-e2e/saucedemo/saucedemo-advanced.spec.ts","",""
"","1544","le checkout refuse un formulaire incomplet","","2026-08-24","passed","2026-08-24","Sauce Demo — parcours avancés","tests-e2e/saucedemo/saucedemo-advanced.spec.ts","",""
"","1610","le tri par nom décroissant (Z à A) ordonne bien les produits","","2026-08-24","passed","2026-08-24","Sauce Demo — parcours avancés","tests-e2e/saucedemo/saucedemo-advanced.spec.ts","",""
"","1462","retirer un article depuis le panier met à jour le badge","","2026-08-24","passed","2026-08-24","Sauce Demo — parcours avancés","tests-e2e/saucedemo/saucedemo-advanced.spec.ts","",""
"","730","un utilisateur bloqué voit un message d'erreur","","2026-08-24","passed","2026-08-24","Sauce Demo","tests-e2e/saucedemo/saucedemo.spec.ts","",""
"","951","un utilisateur valide se connecte et voit l'inventaire","","2026-08-24","passed","2026-08-24","Sauce Demo","tests-e2e/saucedemo/saucedemo.spec.ts","",""
"","2343","le tri par prix croissant ordonne bien les produits","","2026-08-24","passed","2026-08-24","Sauce Demo — parcours avancés","tests-e2e/saucedemo/saucedemo-advanced.spec.ts","",""
