"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1123","un utilisateur valide se connecte et voit l'inventaire","","2026-09-04","passed","2026-09-04","Sauce Demo","tests-e2e/saucedemo/saucedemo.spec.ts","",""
"","6534","parcours de commande complet jusqu'à la confirmation","","2026-09-04","passed","2026-09-04","Sauce Demo — parcours avancés","tests-e2e/saucedemo/saucedemo-advanced.spec.ts","",""
"","1966","retirer un article depuis le panier met à jour le badge","","2026-09-04","passed","2026-09-04","Sauce Demo — parcours avancés","tests-e2e/saucedemo/saucedemo-advanced.spec.ts","",""
"","6214","le tri par prix croissant ordonne bien les produits","","2026-09-04","passed","2026-09-04","Sauce Demo — parcours avancés","tests-e2e/saucedemo/saucedemo-advanced.spec.ts","",""
"","1854","le tri par nom décroissant (Z à A) ordonne bien les produits","","2026-09-04","passed","2026-09-04","Sauce Demo — parcours avancés","tests-e2e/saucedemo/saucedemo-advanced.spec.ts","",""
"","796","un utilisateur bloqué voit un message d'erreur","","2026-09-04","passed","2026-09-04","Sauce Demo","tests-e2e/saucedemo/saucedemo.spec.ts","",""
"","2598","la déconnexion ramène à la page de login","","2026-09-04","passed","2026-09-04","Sauce Demo — parcours avancés","tests-e2e/saucedemo/saucedemo-advanced.spec.ts","",""
"","1833","le checkout refuse un formulaire incomplet","","2026-09-04","passed","2026-09-04","Sauce Demo — parcours avancés","tests-e2e/saucedemo/saucedemo-advanced.spec.ts","",""
