"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","994","le tri par nom décroissant (Z à A) ordonne bien les produits","","2026-07-16","passed","2026-07-16","Sauce Demo — parcours avancés","tests-e2e/saucedemo/saucedemo-advanced.spec.ts","",""
"","1903","la déconnexion ramène à la page de login","","2026-07-16","passed","2026-07-16","Sauce Demo — parcours avancés","tests-e2e/saucedemo/saucedemo-advanced.spec.ts","",""
"","1037","le checkout refuse un formulaire incomplet","","2026-07-16","passed","2026-07-16","Sauce Demo — parcours avancés","tests-e2e/saucedemo/saucedemo-advanced.spec.ts","",""
"","5248","parcours de commande complet jusqu'à la confirmation","","2026-07-16","passed","2026-07-16","Sauce Demo — parcours avancés","tests-e2e/saucedemo/saucedemo-advanced.spec.ts","",""
"","989","un utilisateur valide se connecte et voit l'inventaire","","2026-07-16","passed","2026-07-16","Sauce Demo","tests-e2e/saucedemo/saucedemo.spec.ts","",""
"","1592","retirer un article depuis le panier met à jour le badge","","2026-07-16","passed","2026-07-16","Sauce Demo — parcours avancés","tests-e2e/saucedemo/saucedemo-advanced.spec.ts","",""
"","595","un utilisateur bloqué voit un message d'erreur","","2026-07-16","passed","2026-07-16","Sauce Demo","tests-e2e/saucedemo/saucedemo.spec.ts","",""
"","4831","le tri par prix croissant ordonne bien les produits","","2026-07-16","passed","2026-07-16","Sauce Demo — parcours avancés","tests-e2e/saucedemo/saucedemo-advanced.spec.ts","",""
