"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1816","la déconnexion ramène à la page de login","","2026-09-02","passed","2026-09-02","Sauce Demo — parcours avancés","tests-e2e/saucedemo/saucedemo-advanced.spec.ts","",""
"","1203","un utilisateur bloqué voit un message d'erreur","","2026-09-02","passed","2026-09-02","Sauce Demo","tests-e2e/saucedemo/saucedemo.spec.ts","",""
"","1965","retirer un article depuis le panier met à jour le badge","","2026-09-02","passed","2026-09-02","Sauce Demo — parcours avancés","tests-e2e/saucedemo/saucedemo-advanced.spec.ts","",""
"","4914","parcours de commande complet jusqu'à la confirmation","","2026-09-02","passed","2026-09-02","Sauce Demo — parcours avancés","tests-e2e/saucedemo/saucedemo-advanced.spec.ts","",""
"","1854","un utilisateur valide se connecte et voit l'inventaire","","2026-09-02","passed","2026-09-02","Sauce Demo","tests-e2e/saucedemo/saucedemo.spec.ts","",""
"","1975","le checkout refuse un formulaire incomplet","","2026-09-02","passed","2026-09-02","Sauce Demo — parcours avancés","tests-e2e/saucedemo/saucedemo-advanced.spec.ts","",""
"","1701","le tri par nom décroissant (Z à A) ordonne bien les produits","","2026-09-02","passed","2026-09-02","Sauce Demo — parcours avancés","tests-e2e/saucedemo/saucedemo-advanced.spec.ts","",""
"","4197","le tri par prix croissant ordonne bien les produits","","2026-09-02","passed","2026-09-02","Sauce Demo — parcours avancés","tests-e2e/saucedemo/saucedemo-advanced.spec.ts","",""
