"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1265","le tri par prix croissant ordonne bien les produits","","2026-07-15","passed","2026-07-15","Sauce Demo — parcours avancés","tests-e2e/saucedemo/saucedemo-advanced.spec.ts","",""
"","636","un utilisateur valide se connecte et voit l'inventaire","","2026-07-15","passed","2026-07-15","Sauce Demo","tests-e2e/saucedemo/saucedemo.spec.ts","",""
"","927","le tri par nom décroissant (Z à A) ordonne bien les produits","","2026-07-15","passed","2026-07-15","Sauce Demo — parcours avancés","tests-e2e/saucedemo/saucedemo-advanced.spec.ts","",""
"","1692","la déconnexion ramène à la page de login","","2026-07-15","passed","2026-07-15","Sauce Demo — parcours avancés","tests-e2e/saucedemo/saucedemo-advanced.spec.ts","",""
"","943","retirer un article depuis le panier met à jour le badge","","2026-07-15","passed","2026-07-15","Sauce Demo — parcours avancés","tests-e2e/saucedemo/saucedemo-advanced.spec.ts","",""
"","1542","parcours de commande complet jusqu'à la confirmation","","2026-07-15","passed","2026-07-15","Sauce Demo — parcours avancés","tests-e2e/saucedemo/saucedemo-advanced.spec.ts","",""
"","1002","le checkout refuse un formulaire incomplet","","2026-07-15","passed","2026-07-15","Sauce Demo — parcours avancés","tests-e2e/saucedemo/saucedemo-advanced.spec.ts","",""
"","634","un utilisateur bloqué voit un message d'erreur","","2026-07-15","passed","2026-07-15","Sauce Demo","tests-e2e/saucedemo/saucedemo.spec.ts","",""
