"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2184","la déconnexion ramène à la page de login","","2026-09-18","passed","2026-09-18","Sauce Demo — parcours avancés","tests-e2e/saucedemo/saucedemo-advanced.spec.ts","",""
"","1761","le checkout refuse un formulaire incomplet","","2026-09-18","passed","2026-09-18","Sauce Demo — parcours avancés","tests-e2e/saucedemo/saucedemo-advanced.spec.ts","",""
"","4618","le tri par prix croissant ordonne bien les produits","","2026-09-18","passed","2026-09-18","Sauce Demo — parcours avancés","tests-e2e/saucedemo/saucedemo-advanced.spec.ts","",""
"","1492","un utilisateur valide se connecte et voit l'inventaire","","2026-09-18","passed","2026-09-18","Sauce Demo","tests-e2e/saucedemo/saucedemo.spec.ts","",""
"","2095","retirer un article depuis le panier met à jour le badge","","2026-09-18","passed","2026-09-18","Sauce Demo — parcours avancés","tests-e2e/saucedemo/saucedemo-advanced.spec.ts","",""
"","1822","le tri par nom décroissant (Z à A) ordonne bien les produits","","2026-09-18","passed","2026-09-18","Sauce Demo — parcours avancés","tests-e2e/saucedemo/saucedemo-advanced.spec.ts","",""
"","5041","parcours de commande complet jusqu'à la confirmation","","2026-09-18","passed","2026-09-18","Sauce Demo — parcours avancés","tests-e2e/saucedemo/saucedemo-advanced.spec.ts","",""
"","1415","un utilisateur bloqué voit un message d'erreur","","2026-09-18","passed","2026-09-18","Sauce Demo","tests-e2e/saucedemo/saucedemo.spec.ts","",""
