"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1250","le tri par nom décroissant (Z à A) ordonne bien les produits","","2026-07-02","passed","2026-07-02","Sauce Demo — parcours avancés","tests-e2e/saucedemo/saucedemo-advanced.spec.ts","",""
"","744","un utilisateur valide se connecte et voit l'inventaire","","2026-07-02","passed","2026-07-02","Sauce Demo","tests-e2e/saucedemo/saucedemo.spec.ts","",""
"","2339","parcours de commande complet jusqu'à la confirmation","","2026-07-02","passed","2026-07-02","Sauce Demo — parcours avancés","tests-e2e/saucedemo/saucedemo-advanced.spec.ts","",""
"","1013","le checkout refuse un formulaire incomplet","","2026-07-02","passed","2026-07-02","Sauce Demo — parcours avancés","tests-e2e/saucedemo/saucedemo-advanced.spec.ts","",""
"","630","un utilisateur bloqué voit un message d'erreur","","2026-07-02","passed","2026-07-02","Sauce Demo","tests-e2e/saucedemo/saucedemo.spec.ts","",""
"","1160","retirer un article depuis le panier met à jour le badge","","2026-07-02","passed","2026-07-02","Sauce Demo — parcours avancés","tests-e2e/saucedemo/saucedemo-advanced.spec.ts","",""
"","2064","le tri par prix croissant ordonne bien les produits","","2026-07-02","passed","2026-07-02","Sauce Demo — parcours avancés","tests-e2e/saucedemo/saucedemo-advanced.spec.ts","",""
"","1861","la déconnexion ramène à la page de login","","2026-07-02","passed","2026-07-02","Sauce Demo — parcours avancés","tests-e2e/saucedemo/saucedemo-advanced.spec.ts","",""
