"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1821","retirer un article depuis le panier met à jour le badge","","2026-08-27","passed","2026-08-27","Sauce Demo — parcours avancés","tests-e2e/saucedemo/saucedemo-advanced.spec.ts","",""
"","2185","la déconnexion ramène à la page de login","","2026-08-27","passed","2026-08-27","Sauce Demo — parcours avancés","tests-e2e/saucedemo/saucedemo-advanced.spec.ts","",""
"","877","un utilisateur bloqué voit un message d'erreur","","2026-08-27","passed","2026-08-27","Sauce Demo","tests-e2e/saucedemo/saucedemo.spec.ts","",""
"","6213","parcours de commande complet jusqu'à la confirmation","","2026-08-27","passed","2026-08-27","Sauce Demo — parcours avancés","tests-e2e/saucedemo/saucedemo-advanced.spec.ts","",""
"","1517","un utilisateur valide se connecte et voit l'inventaire","","2026-08-27","passed","2026-08-27","Sauce Demo","tests-e2e/saucedemo/saucedemo.spec.ts","",""
"","1608","le tri par nom décroissant (Z à A) ordonne bien les produits","","2026-08-27","passed","2026-08-27","Sauce Demo — parcours avancés","tests-e2e/saucedemo/saucedemo-advanced.spec.ts","",""
"","5569","le tri par prix croissant ordonne bien les produits","","2026-08-27","passed","2026-08-27","Sauce Demo — parcours avancés","tests-e2e/saucedemo/saucedemo-advanced.spec.ts","",""
"","1766","le checkout refuse un formulaire incomplet","","2026-08-27","passed","2026-08-27","Sauce Demo — parcours avancés","tests-e2e/saucedemo/saucedemo-advanced.spec.ts","",""
